Year,Month,State,Higher Education Enrolments,VET Enrolments,Schools Enrolments,ELICOS Enrolments,Non-award Enrolments,Higher Education Commencements,VET Commencements,Schools Commencements,ELICOS Commencements,Non-award Commencements,Bus,Ferry,Light rail,Train,All,Unemployment rate(%),Underemployment rate(%),Employed people ('000),Hours worked (m),Hours worked Yearly change (%),Underemployment Males (%),Underemployment Females (%),AIRPORT,Dom_Pax_In,Dom_Pax_Out,Dom_Pax_Total,Int_Pax_In,Int_Pax_Out,Int_Pax_Total,Pax_In,Pax_Out,Pax_Total
2019,Jan,NSW,"98,257","59,377","4,596","19,714","7,580","1,762","8,893","1,896","4,653","1,485",22040138.0,1619996.0,625233.0,29925564.0,54210931.0,5.1,8.1,"12,747.20","1,762",3.6,6.2,10.4,SYDNEY,1151296,1138031,2289327,887489,768912,1656401,2038785,1906943,3945728
2019,Feb,NSW,"120,224","66,453","4,690","23,231","11,711","23,729","15,969","1,990","8,170","5,616",25713814.0,1266715.0,888350.0,32218764.0,60087643.0,5.0,8.1,"12,747.30","1,764",2.3,6.3,10.1,SYDNEY,1041047,1041948,2082995,707952,612960,1320912,1748999,1654908,3403907
2019,Mar,NSW,"127,674","68,510","4,699","26,951","12,724","31,179","18,026","1,999","11,890","6,629",28742223.0,1300757.0,1010066.0,36530266.0,67583312.0,5.1,8.3,"12,780.70","1,779",3.0,6.5,10.2,SYDNEY,1168035,1163665,2331700,656438,672111,1328549,1824473,1835776,3660249
2019,Apr,NSW,"127,956","77,985","4,966","32,101","13,073","31,461","27,501","2,266","17,040","6,978",24442222.0,1432483.0,905526.0,32810678.0,59590909.0,5.2,8.5,"12,814.50","1,770",1.5,6.9,10.3,SYDNEY,1143091,1140011,2283102,681293,719809,1401102,1824384,1859820,3684204
2019,May,NSW,"128,959","82,314","4,987","35,679","13,219","32,464","31,830","2,287","20,618","7,124",28499242.0,1179849.0,912170.0,37562121.0,68153382.0,5.2,8.6,"12,846.40","1,768",2.1,6.9,10.5,SYDNEY,1112636,1105077,2217713,641103,658543,1299646,1753739,1763620,3517359
2019,Jun,NSW,"130,129","83,625","4,991","38,603","13,647","33,634","33,141","2,291","23,542","7,552",24240764.0,1167062.0,936680.0,32112300.0,58456806.0,5.2,8.2,"12,865.10","1,770",1.5,6.6,9.9,SYDNEY,1056674,1037459,2094133,609046,697055,1306101,1665720,1734514,3400234
2019,Jul,NSW,"141,222","94,824","5,679","42,740","16,088","44,727","44,340","2,979","27,679","9,993",25323013.0,1258359.0,986972.0,34148122.0,61716466.0,5.2,8.4,"12,883.30","1,773",1.7,6.7,10.3,SYDNEY,1179466,1208057,2387523,758328,692756,1451084,1937794,1900813,3838607
2019,Aug,NSW,"147,793","99,036","5,692","46,556","18,918","51,298","48,552","2,992","31,495","12,823",26952521.0,1106000.0,989046.0,34927511.0,63975078.0,5.3,8.5,"12,930.20","1,777",1.9,7.0,10.3,SYDNEY,1154302,1141216,2295518,688054,695834,1383888,1842356,1837050,3679406
2019,Sep,NSW,"153,468","103,057","5,701","51,934","19,546","56,973","52,573","3,001","36,873","13,451",25626287.0,1156158.0,857368.0,33518338.0,61158151.0,5.2,8.3,"12,946.00","1,779",1.8,6.8,10.0,SYDNEY,1138830,1146456,2285286,668842,689778,1358620,1807672,1836234,3643906
2019,Oct,NSW,"154,758","111,607","5,944","56,261","20,756","58,263","61,123","3,244","41,200","14,661",26664094.0,1340447.0,998665.0,34998484.0,64001690.0,5.3,8.5,"12,919.30","1,777",1.2,6.7,10.6,SYDNEY,1276535,1267353,2543888,759129,665258,1424387,2035664,1932611,3968275
2019,Nov,NSW,"157,664","116,078","5,959","60,437","21,190","61,169","65,594","3,259","45,376","15,095",27053049.0,1266976.0,976810.0,34137150.0,63433985.0,5.1,8.3,"12,952.20","1,776",1.3,6.6,10.1,SYDNEY,1190189,1188233,2378422,677641,682256,1359897,1867830,1870489,3738319
2019,Dec,NSW,"157,823","116,736","5,963","62,557","21,765","61,328","66,252","3,263","47,496","15,670",23199767.0,1457726.0,1683616.0,30275150.0,56616259.0,5.1,8.2,"12,967.00","1,783",2.0,6.6,10.1,SYDNEY,1167955,1180842,2348797,728207,871647,1599854,1896162,2052489,3948651
2020,Jan,NSW,"105,650","67,869","4,295","18,218","7,632","1,707","8,789","1,724","4,334","1,506",22130032.0,1522325.0,2180906.0,29399461.0,55232724.0,5.3,8.6,"12,984.00","1,774",0.7,6.7,10.8,SYDNEY,1142353,1131604,2273957,877231,775800,1653031,2019584,1907404,3926988
2020,Feb,NSW,"123,273","74,613","4,387","21,352","11,604","19,330","15,533","1,816","7,468","5,478",25206493.0,1063308.0,1950759.0,30168810.0,58389370.0,5.1,8.6,"13,000.90","1,771",0.4,6.6,10.8,SYDNEY,1003957,983714,1987671,595097,506896,1101993,1599054,1490610,3089664
2020,Mar,NSW,"129,400","77,610","4,400","24,868","12,415","25,457","18,530","1,829","10,984","6,289",19191569.0,677265.0,1264683.0,22506278.0,43639795.0,5.2,8.8,"13,002.20","1,769",-0.5,7.2,10.6,SYDNEY,657237,661525,1318762,341102,344459,685561,998339,1005984,2004323
2020,Apr,NSW,"129,599","85,910","4,505","27,324","12,516","25,656","26,830","1,934","13,440","6,390",5504822.0,91230.0,232032.0,6095725.0,11923809.0,6.3,13.8,"12,401.50","1,588",-10.3,12.6,15.1,SYDNEY,28082,20096,48178,7751,33619,41370,35833,53715,89548
2020,May,NSW,"130,275","90,236","4,512","29,452","12,660","26,332","31,156","1,941","15,568","6,534",8549735.0,203728.0,443833.0,9323674.0,18520970.0,7.0,13.1,"12,125.00","1,608",-9.1,12.2,14.1,SYDNEY,33504,28774,62278,10119,20218,30337,43623,48992,92615
