Year,Month,State,Higher Education Enrolments,VET Enrolments,Schools Enrolments,ELICOS Enrolments,Non-award Enrolments,Higher Education Commencements,VET Commencements,Schools Commencements,ELICOS Commencements,Non-award Commencements
2019,Jan,NSW,98257,59377,4596,19714,7580,1762,8893,1896,4653,1485
2019,Feb,NSW,120224,66453,4690,23231,11711,23729,15969,1990,8170,5616
2019,Mar,NSW,127674,68510,4699,26951,12724,31179,18026,1999,11890,6629
2019,Apr,NSW,127956,77985,4966,32101,13073,31461,27501,2266,17040,6978
2019,May,NSW,128959,82314,4987,35679,13219,32464,31830,2287,20618,7124
2019,Jun,NSW,130129,83625,4991,38603,13647,33634,33141,2291,23542,7552
2019,Jul,NSW,141222,94824,5679,42740,16088,44727,44340,2979,27679,9993
2019,Aug,NSW,147793,99036,5692,46556,18918,51298,48552,2992,31495,12823
2019,Sep,NSW,153468,103057,5701,51934,19546,56973,52573,3001,36873,13451
2019,Oct,NSW,154758,111607,5944,56261,20756,58263,61123,3244,41200,14661
2019,Nov,NSW,157664,116078,5959,60437,21190,61169,65594,3259,45376,15095
2019,Dec,NSW,157823,116736,5963,62557,21765,61328,66252,3263,47496,15670
2020,Jan,NSW,105650,67869,4295,18218,7632,1707,8789,1724,4334,1506
2020,Feb,NSW,123273,74613,4387,21352,11604,19330,15533,1816,7468,5478
2020,Mar,NSW,129400,77610,4400,24868,12415,25457,18530,1829,10984,6289
2020,Apr,NSW,129599,85910,4505,27324,12516,25656,26830,1934,13440,6390
2020,May,NSW,130275,90236,4512,29452,12660,26332,31156,1941,15568,6534
2020,Jun,NSW,132807,92094,4523,31809,13042,28864,33014,1952,17925,6916
2020,Jul,NSW,138624,101666,4641,33271,13727,34681,42586,2070,19387,7601
2020,Aug,NSW,147039,106459,4646,35406,14219,43096,47379,2075,21522,8093
2020,Sep,NSW,151052,109196,4649,37339,14314,47109,50116,2078,23455,8188
2020,Oct,NSW,151830,116687,4684,39147,14891,47887,57607,2113,25263,8765
2020,Nov,NSW,153517,120735,4688,41012,15165,49574,61655,2117,27128,9039
2020,Dec,NSW,153540,121182,4697,41607,15170,49597,62102,2126,27723,9044
2021,Jan,NSW,98129,65380,2591,6445,3983,1020,7057,570,1516,760
2021,Feb,NSW,108396,71113,2959,7526,4325,11287,12790,938,2597,1102
2021,Mar,NSW,120019,73295,2964,9099,4770,22910,14972,943,4170,1547
2021,Apr,NSW,120151,80514,2989,10263,4858,23042,22191,968,5334,1635
2021,May,NSW,122110,84310,2995,11512,5024,25001,25987,974,6583,1801
2021,Jun,NSW,122562,85358,2995,12402,5189,25453,27035,974,7473,1966
2021,Jul,NSW,126533,93027,3042,13117,5751,29424,34704,1021,8188,2528
2021,Aug,NSW,133128,96317,3049,14180,5949,36019,37994,1028,9251,2726
2021,Sep,NSW,137463,98720,3052,15049,6055,40354,40397,1031,10120,2832
2021,Oct,NSW,137906,103777,3069,16023,6414,40797,45454,1048,11094,3191
2021,Nov,NSW,139058,107141,3071,17000,6636,41949,48818,1050,12071,3413
2021,Dec,NSW,139128,107541,3073,17331,6636,42019,49218,1052,12402,3413
