Year,Month,Bus,Ferry,Light rail,Train,All
2019,1,22040138.0,1619996.0,625233.0,29925564.0,54210931.0
2019,2,25713814.0,1266715.0,888350.0,32218764.0,60087643.0
2019,3,28742223.0,1300757.0,1010066.0,36530266.0,67583312.0
2019,4,24442222.0,1432483.0,905526.0,32810678.0,59590909.0
2019,5,28499242.0,1179849.0,912170.0,37562121.0,68153382.0
2019,6,24240764.0,1167062.0,936680.0,32112300.0,58456806.0
2019,7,25323013.0,1258359.0,986972.0,34148122.0,61716466.0
2019,8,26952521.0,1106000.0,989046.0,34927511.0,63975078.0
2019,9,25626287.0,1156158.0,857368.0,33518338.0,61158151.0
2019,10,26664094.0,1340447.0,998665.0,34998484.0,64001690.0
2019,11,27053049.0,1266976.0,976810.0,34137150.0,63433985.0
2019,12,23199767.0,1457726.0,1683616.0,30275150.0,56616259.0
2020,1,22130032.0,1522325.0,2180906.0,29399461.0,55232724.0
2020,2,25206493.0,1063308.0,1950759.0,30168810.0,58389370.0
2020,3,19191569.0,677265.0,1264683.0,22506278.0,43639795.0
2020,4,5504822.0,91230.0,232032.0,6095725.0,11923809.0
2020,5,8549735.0,203728.0,443833.0,9323674.0,18520970.0
2020,6,12386023.0,377351.0,772279.0,13762670.0,27298323.0
2020,7,13132371.0,463754.0,994370.0,15446904.0,30037399.0
2020,8,13107189.0,369977.0,965468.0,14385299.0,28827933.0
2020,9,13690626.0,441991.0,1059605.0,15556289.0,30748511.0
2020,10,14059038.0,560732.0,1277545.0,16502457.0,32399772.0
2020,11,14809745.0,529113.0,1391815.0,17317270.0,34047943.0
2020,12,13391873.0,481290.0,1452246.0,16173796.0,31499205.0
2021,1,11567325.0,539271.0,1273629.0,13616536.0,26996761.0
2021,2,14964876.0,547260.0,1663207.0,17765453.0,34940796.0
2021,3,17032074.0,609963.0,1816634.0,20925803.0,40384474.0
2021,4,15471111.0,926107.0,2147622.0,20552499.0,39097339.0
2021,5,16650452.0,660979.0,1999285.0,21038609.0,40349325.0
2021,6,13859329.0,486379.0,1672701.0,17193476.0,33211885.0
2021,7,5106594.0,80887.0,351491.0,5268833.0,10807805.0
2021,8,4287197.0,59618.0,286466.0,4245889.0,8879170.0
2021,9,4657167.0,82924.0,350163.0,4592053.0,9682307.0
2021,10,8399539.0,332483.0,845402.0,9256566.0,18833990.0
2021,11,12436572.0,441196.0,1020639.0,14568385.0,28466792.0
2021,12,11147012.0,632380.0,1306423.0,13901180.0,26986995.0
